ra,dec,e1,e2,w,z_src
216.236230344,1.51477375611,0.1388,-0.3331,15.4839,0.51
221.807630662,2.17694722023,0.0072,-0.2817,7.6419,1.31
215.083340365,-1.42046786945,0.5777,0.1095,13.3453,0.49
216.718535467,-0.322079780282,0.1449,0.2041,15.3446,0.36
214.622596868,-1.46051184728,0.1607,-0.6849,14.1409,0.65
211.582780536,0.388349236425,-0.0676,-0.2768,11.7002,0.84
222.552668256,2.37297418286,0.0838,0.277,0.8431,0.33
212.906672604,-0.624999608449,0.1699,-0.5196,0.644,0.62
221.863896061,0.107102631116,-0.1583,-0.1072,4.6052,0.3
218.31686208,-0.86411680413,-0.2617,-0.2293,1.0001,1.29
214.078178007,-0.168207716926,-0.2441,-0.4542,0.7052,0.11
216.235829107,-2.1310705334,0.2146,-0.2193,15.5302,0.25
213.035886584,-2.32862779721,0.04,0.0,15.563,0.5
212.465991011,2.37563437698,0.5603,-0.4137,4.6123,0.68
221.810094157,2.53704464311,-0.0122,0.2169,3.1795,0.12
210.6679823,-1.87368912934,0.1539,0.1254,15.3636,0.58
214.592482,1.05351793102,-0.1043,-0.1186,14.8211,0.25
223.215202734,2.39701886595,-0.0051,0.5882,0.0984,0.73
212.477422019,0.927441915809,0.0295,-0.0217,6.4588,0.63
214.541033063,-2.23010254733,-0.1314,0.0536,1.9198,0.55
216.38129809,-2.95353946025,-0.2806,-0.4224,15.3882,0.05
214.747407064,-2.43503895925,0.6045,-0.3607,14.6938,0.73
221.59217248,-0.620682022215,-0.0234,0.3054,15.1894,0.27
223.884219301,-0.252853567406,0.565,-0.3397,10.4883,0.47
213.488768468,-0.655516570824,0.0124,-0.2161,14.1236,0.71
210.691248485,-0.96984560644,0.0777,-0.1877,11.9869,0.38
222.294608844,-2.33156553613,0.0853,-0.117,2.1953,0.1
212.465015487,0.250297642442,-0.0587,0.0469,15.4126,0.63
211.194051082,1.14941957576,-0.4537,0.4481,4.2914,0.3
210.37852226,2.83871905864,0.3315,-0.2768,15.1819,0.3
216.22922192,-0.484182621605,0.5396,0.106,0.5244,0.91
218.573670141,2.33032680865,0.2138,0.638,2.9658,0.95
223.906653885,-0.018028745865,0.0289,0.6145,5.9205,0.75
212.661213293,-0.956539244708,-0.2794,-0.1921,6.3515,0.7
219.847836397,-1.4197599914,0.4862,0.113,6.2477,1.36
213.46258032,1.63517768468,0.112,0.2279,5.0766,0.16
